procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 537284 162892  32276 1809852   12   20   142   286  248  535 25  3 70  2  0
 1  0 537284 180060  33076 1791700   12    0   347   182  395 1310 10  1 87  2  0
 1  0 537196 177120  33136 1791116   11    0    29   140  433 1741 12  1 86  1  0
 3  0 536872 174792  34740 1786436   69    0   477   210  710 2373 16  2 79  3  0
 0  0 536868 167132  34800 1785588    0    0     0   191  552 1239 10  1 89  0  0
 0  0 536868 178072  34820 1777776    0    0     2   117  397 1369 11  1 88  0  0
 0  0 536868 188052  34860 1777616    0    0     0   200  312 1011  9  1 90  0  0
 6  0 536680 139620  34936 1800968   15    0    36   132  794 3173 26  3 71  0  0
 0  0 536656 171744  34952 1775712    2    0     2   167  449 1485  9  1 90  0  0
 1  1 536656 165740  35400 1772224    0    0   393    23  380 1476  8  1 90  1  0
 3  0 536656 149244  35484 1783288    0    0   185   393  414 1583 11  2 86  1  0
 3  1 536276 161268  35600 1785288   38    0    41   265  965 4195 25  3 71  1  0
 2  0 536244 110016  36196 1794164    3    0   141   440 1297 5495 42  3 53  2  0
 1  0 535656 189520  36372 1752272   55    0   169   341  719 2419 21  2 73  4  0
 0  0 535284 208652  36388 1768976   20    0    29   249  401 2025 10  1 88  0  0
 0  0 535004 224440  36552 1748628   27    0    36   554  432 1592  7  2 90  1  0
 0  0 534988 220376  36588 1745844    0    0     1   205  485 1922  7  3 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 534984 218892  36588 1746440   12   20   141   283  246  535 25  3 70  2  0
 0  0 534984 216276  36604 1746692    0    0     0    22  344 1312  4  2 94  0  0
 1  0 534984 209212  36604 1750800    0    0     0    22  363 1589  6  2 92  0  0
 2  1 534984 199308  36676 1757552    1    0     2   265  682 3168 22  3 74  1  0
 2  0 534984 201800  36692 1744596    1    0     2   273  746 2967 23  3 73  1  0
 0  0 534944 243512  37056 1736740   22    0    90   341  930 3412 24  3 71  2  0
 0  0 534368 247740  37080 1737872   41    0    41   264 1175 2619 12  3 85  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 534368 231128  37112 1741236    0    0     0   143  355 2017  8  1 90  0  0
 1  0 534368 227112  37160 1750776    0    0    28   286  685 3446 24  2 72  1  0
 0  0 534356 243060  37176 1737440    1    0    23   117  486 2108 16  2 82  0  0
 1  0 534336 252696  37192 1733544    0    0     0   210  510 1595 10  1 89  0  0
 0  0 534312 208156  37264 1742628    1    0     1   225  760 4248 30  3 67  1  0
 1  0 534300 223036  37332 1743440    0    0    16   388  776 3853 21  3 75  1  0
 0  0 534284 203444  37356 1760492    0    0     0   162  497 1972 14  2 84  0  0
 2  0 534220 223984  37396 1749652    2    0     3   255  567 3243 17  2 80  1  0
 2  0 534204 216788  37452 1753880    2    0     2   363  584 2921 18  2 78  1  0
 0  0 534172 219340  37476 1749612    3    0     3   152  393 1624  9  2 89  0  0
 0  0 534140 229264  37496 1749460    3    0     3    55  229  930  3  1 96  0  0
 0  0 534076 230696  37520 1742248    4    0     4    20  313 1506  7  1 91  0  0
 2  0 534012 190684  37624 1735680    4    0     7   399  796 3455 26  2 71  1  0
 1  0 533988 207564  37668 1736504    3    0     7   283  747 3183 22  2 75  1  0
 2  0 533940 198116  37732 1741576    4    0     4   221  853 4274 30  3 67  1  0
 1  0 533884 181748  37776 1741788    5    0    17   247  840 4406 26  3 70  1  0
 1  0 533840 218164  37800 1737760    3    0     3   447  677 2718 19  2 78  1  0
 0  0 533816 220280  37816 1735248    2    0     2   166  374 1187  6  1 93  0  0
 0  0 533580 181404  38256 1771988   19    0   121    21  290 1339  4  1 92  2  0
 0  0 533524 221524  38288 1730912    2    0     3    27  299 1236  6  1 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 532968 192836  38460 1755160   12   19   138   278  244  538 25  3 70  2  0
 1  0 532888 194200  38476 1750776    7    0     7   215  210  685  2  1 97  0  0
 0  0 532844 190372  38492 1753192    5    0     8    20  406 1677 11  2 88  0  0
 0  0 532788 188120  38508 1754404    5    0     5    10  399 1601 10  2 88  0  0
 0  0 532684 206236  38620 1737524   11    0    11    98  585 1345  7  1 91  1  0
 0  0 532632 201628  38788 1738228    5    0     6   186  659 2056 11  2 86  1  0
 0  0 532584 206700  38820 1733812    4    0     4    47  281 1096  5  1 94  0  0
 0  0 530740 187372  42256 1743724   67    0  1163    68  483 1833  8  2 85  5  0
 1  0 530652 187572  42288 1741900    7    0     8    19  263  942  3  1 96  0  0
 0  0 530600 128524  43456 1807636    3    0  3689  2977  326  980  7  1 88  4  0
 0  0 530548 150676  43468 1801128    5    0     5    18  309  889  7  1 92  0  0
 1  0 530512 157496  43512 1800876    4    0     5    31  179  436  2  0 98  0  0
 1  0 530400 155264  43544 1801372   14    0    42    11  174  446  1  0 98  1  0
 1  0 530344 152288  43568 1801392    7    0     7    41  170  442  1  0 99  0  0
 0  0 530308 144832  43576 1803028    3    0     3    18  229  790  3  1 96  0  0
